room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,is_weekend,room_type_Private room,room_type_Shared room,city_Athens,city_Barcelona,city_Berlin,city_Budapest,city_Lisbon,city_London,city_Paris,city_Rome,city_Vienna,attraction_accessibility,rest_prox_score
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.31606165370237166,0.09702037298632733,0.5485263495746905,0.7889778132799453,0.4800269156110759,0.8873898290229376,0.6854524631191126,0.9912324603244316,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4962781914154903,9.146427721402326
0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3535533905932738,0.5,0.42770307295221116,0.24790600984088396,0.318988453296392,0.49214191708622845,0.3178688112581751,0.6788094780197764,0.686201745801381,0.9940099373620703,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1506625699208322,2.7381727391581334
0.0,0.0,0.3395288550832809,1.0,0.0,0.0,0.0,0.25,0.5,0.4069564900295866,0.03801884011870316,0.3449157500813199,0.3086622149559227,0.3699921929541954,0.5438680576891051,0.8565652372829489,0.6482089392679686,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7584649035416103,14.305224883006154
0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.22360679774997896,0.5,0.5313748633061064,0.7384253177788453,0.2870286576905575,0.24307858727065382,0.2859967345686557,0.4081144596779493,0.8554441916200322,0.6519635380386339,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45745217558517587,0.5526821058973732
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.31622776601683794,0.5,0.25627403020394857,0.1349472288064269,0.5982026310458145,0.48563399903869975,0.672283162496808,0.6165886037868532,0.34492484449278743,0.23318141984299334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8949793650656737,4.569109045368466
0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.19364916731037082,0.5,0.13945134233790848,0.004618064866678952,0.5381190039675824,0.5442391094830982,0.6082437764020239,0.8547168388762131,0.8570454690061173,0.6496695149594953,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.902716892924107,185.0811678812291
0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.38729833462074165,0.0,0.3976129524197859,0.11990998066846449,0.34904511723265874,0.35390744400013463,0.3620406607872292,0.2637271799809586,0.7745213589497317,0.6986250160867598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8900802698864082,2.199376386442176
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7924812503605781,0.3468578683324334,0.34678595970784415,0.8248414652980925,0.6695824821909837,0.8546427293704018,0.852809554062945,0.6575260037146,0.2687452463197917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9304232174697173,2.459181319743767
0.0,0.0,0.6028878953294539,0.0,0.0,1.0,0.0,0.2958039891549808,0.5,0.18845267527020268,0.19703404772368927,0.6260693877803122,0.5126804897994746,0.6447192037966238,0.7987579861116741,0.002940169489984823,0.05163220184679451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7204733977079143,4.053908425166257
0.0,1.0,0.3395288550832809,0.0,0.0,1.0,0.0,0.0,0.0,0.42891052027985693,0.28716437423533714,0.6913447277561339,0.49945914489345,0.7538935584249307,0.7199949042302821,0.657182721353496,0.2690448515898489,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1644833159316337,2.5072570584268625
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19364916731037082,0.5,0.4682644042198411,0.35492768592996227,0.7437186810895519,0.5654327251966378,0.7164119486515002,0.6712729381753515,0.6569651778978274,0.268772483162524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.207507382797301,1.8912949448181777
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27386127875258304,0.5,0.11418796955717822,0.13218938344797904,0.5820447232502869,0.45806949203628955,0.7214739235883076,0.8464565884602925,0.0024541810458447166,0.051801751192803724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.011538989726207,6.403362860024244
0.0,0.0,0.6028878953294539,0.0,0.0,0.0,0.0,0.31622776601683794,0.5,0.34557987020271524,0.4286222615317602,0.8180573622027413,0.6607546670065648,0.8290863114446398,0.8191183689168586,0.657546000745344,0.2685103285512245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.912017232424359,1.9110495240951533
0.0,1.0,0.6028878953294539,0.0,0.0,0.0,0.5,0.2958039891549808,0.0,0.16819907371485215,0.3361035695242879,0.7340880380495837,0.7679208203802586,0.5950342873387837,0.7837273736668426,0.4274356231953438,0.9819576344529715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565547261467769,2.3318031842866462
